City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Castro,BR,69.91,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
1,Saint-Joseph,RE,70.16,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
4,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
6,Arraial Do Cabo,BR,71.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
7,Mazara Del Vallo,IT,78.75,scattered clouds,37.6641,12.588,Vizier Resort & Spa
9,Alexander City,US,73.11,clear sky,32.944,-85.9539,Hampton Inn Alexander City
11,Dwarka,IN,81.28,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
14,Torbay,CA,71.49,scattered clouds,47.6666,-52.7314,Gallows Cove
20,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Bandarbeyla,SO,78.24,broken clouds,9.4942,50.8122,JABIR HOTEL
25,Hambantota,LK,80.78,broken clouds,6.1241,81.1185,Bungalow 63
26,Kalmunai,LK,83.01,overcast clouds,7.4167,81.8167,VS Villa
27,Hithadhoo,MV,81.91,light rain,-0.6,73.0833,Scoop Guest House
30,Jodhpur,IN,81.07,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
43,Caravelas,BR,74.32,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
47,Eyl,SO,78.57,broken clouds,7.9803,49.8164,Amiin Hotel
49,Alexandria,EG,80.56,scattered clouds,31.2156,29.9553,Royal Crown Hotel
53,Dapaong,TG,81.27,broken clouds,10.8639,0.205,Hotel Caroli
55,Kilindoni,TZ,77.43,few clouds,-7.9139,39.6668,Bustani B&B
57,Rawson,AR,68.97,clear sky,-43.3002,-65.1023,Hosteria Sampedro
64,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
66,Sioux Lookout,CA,68.07,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
71,Bereda,ES,71.01,broken clouds,43.2686,-7.5406,Pazo de Verdes
72,Oxapampa,PE,72.73,overcast clouds,-10.5775,-75.4017,Hotel Heidinger
76,Sao Joao Da Barra,BR,73.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
79,Sao Filipe,CV,80.28,scattered clouds,14.8961,-24.4956,Hotel Xaguate
80,Atlantic Beach,US,84.09,few clouds,30.3344,-81.3987,One Ocean Resort and Spa
81,Ahmadpur,IN,74.59,light rain,18.7,76.9333,Hengane (Pitashri Niwas)
83,Asfi,MA,71.55,overcast clouds,32.2994,-9.2372,Hôtel Abda
84,Ambilobe,MG,73.18,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
85,Midland,US,80.15,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
89,Muros,ES,74.14,clear sky,42.7762,-9.0603,Apartment Av. Castelao
91,Lagoa,PT,69.08,broken clouds,39.05,-27.9833,Casa Das Faias
93,Gharghoda,IN,75.97,broken clouds,22.1667,83.35,Gokul Naik
98,Cap-Aux-Meules,CA,69.85,scattered clouds,47.3821,-61.8597,Auberge Madeli
99,Karaton,ID,80.76,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
100,San Juan,AR,75.7,clear sky,-31.5375,-68.5364,Hotel Provincial
103,Lyantonde,UG,70.05,scattered clouds,-0.4031,31.1572,Pals Panache Splendors
104,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
105,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
107,Havelock,US,82.35,moderate rain,34.8791,-76.9013,Sherwood Motel
108,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
109,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
110,Parkent,UZ,69.62,clear sky,41.2944,69.6764,
112,Praia,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
118,Beira,MZ,71.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
120,Port-Gentil,GA,78.73,few clouds,-0.7193,8.7815,Fengshui Residence
122,Pirgos,GR,68.49,few clouds,35.1167,25.7178,Daios Cove
123,Zhanaozen,KZ,76.01,clear sky,43.3,52.8,K.korabay 28A
127,Najran,SA,84.85,few clouds,17.4924,44.1277,محمد هادي ال فطيح
129,Serenje,ZM,68.56,broken clouds,-13.2325,30.2352,The Kabaso's
130,Quatre Cocos,MU,71.71,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
132,Bengkulu,ID,75.96,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
133,Trincomalee,LK,81.66,overcast clouds,8.5711,81.2335,Welcombe Hotel
135,Jeremie,HT,84.61,broken clouds,18.65,-74.1167,Auberge’Inn
138,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
139,Salta,AR,77.59,few clouds,-24.7859,-65.4117,Hotel Alejandro I
140,Fenoarivo Atsinanana,MG,69.22,clear sky,-17.3667,49.4167,L'Oasis Lodge
141,Xuddur,SO,83.84,overcast clouds,4.1213,43.8894,Banjanay Hotel
143,Kilimatinde,TZ,79.3,overcast clouds,-5.85,34.95,
